image_name,time,counts
car_2024-07-24_23_58_03.jpg,23_58_03,6
car_2024-07-26_21_00_04.jpg,21_00_04,4
car_2024-07-26_21_10_03_extra.jpg,21_10_03,1
car_2024-07-26_21_20_03_extra.jpg,21_20_03,7
car_2024-07-26_21_30_03.jpg,21_30_03,18
car_2024-07-26_21_40_03_extra.jpg,21_40_03,5
car_2024-07-26_21_50_03_extra.jpg,21_50_03,9
car_2024-07-26_22_00_03.jpg,22_00_03,15
car_2024-07-26_22_10_03_extra.jpg,22_10_03,9
car_2024-07-26_22_20_03_extra.jpg,22_20_03,14
car_2024-07-26_22_30_03.jpg,22_30_03,10
car_2024-07-26_22_40_04_extra.jpg,22_40_04,15
car_2024-07-26_23_00_03.jpg,23_00_03,16
car_2024-07-26_23_10_03_extra.jpg,23_10_03,26
car_2024-07-26_23_20_03_extra.jpg,23_20_03,14
car_2024-07-26_23_30_03.jpg,23_30_03,18
car_2024-07-26_23_40_03_extra.jpg,23_40_03,12
car_2024-07-26_23_50_03_extra.jpg,23_50_03,11
car_2024-07-26_23_58_03.jpg,23_58_03,18
car_2024-07-29_21_00_03.jpg,21_00_03,6
car_2024-07-29_21_10_03_extra.jpg,21_10_03,4
car_2024-07-29_21_20_03_extra.jpg,21_20_03,4
car_2024-07-29_21_30_03.jpg,21_30_03,7
car_2024-07-29_21_40_03_extra.jpg,21_40_03,6
car_2024-07-29_21_50_03_extra.jpg,21_50_03,9
car_2024-07-29_22_00_03.jpg,22_00_03,6
car_2024-07-29_22_10_04_extra.jpg,22_10_04,8
car_2024-07-29_22_20_03_extra.jpg,22_20_03,8
car_2024-07-29_22_30_03.jpg,22_30_03,9
car_2024-07-29_22_40_03_extra.jpg,22_40_03,8
car_2024-07-29_22_50_04_extra.jpg,22_50_04,11
car_2024-07-29_23_00_03.jpg,23_00_03,4
car_2024-07-29_23_10_03_extra.jpg,23_10_03,15
car_2024-07-29_23_20_03_extra.jpg,23_20_03,1
car_2024-07-29_23_30_03.jpg,23_30_03,1
car_2024-07-29_23_40_03_extra.jpg,23_40_03,6
car_2024-07-29_23_50_03_extra.jpg,23_50_03,5
car_2024-07-29_23_58_03.jpg,23_58_03,17
car_2024-07-31_21_00_03.jpg,21_00_03,8
car_2024-07-31_21_10_03_extra.jpg,21_10_03,8
car_2024-07-31_21_30_03.jpg,21_30_03,2
car_2024-07-31_21_40_03_extra.jpg,21_40_03,3
car_2024-07-31_21_50_03_extra.jpg,21_50_03,14
car_2024-07-31_22_00_03.jpg,22_00_03,12
